IMG_5876|Category | Subcategory | Part Number/ID | Description/Name
IMG_5876|--- | --- | --- | ---
IMG_5876|STANDARDS - MECHANICAL | | |
IMG_5876|Ball Bearings | Metal | 01-001-000 |
IMG_5876|| Ball | 01-002-000 |
IMG_5876|| Flange | 01-005-000 |
IMG_5876|| Pillow Block | 1-006-000 |
IMG_5876|| Radial Taper | 1-007-000 |
IMG_5876|| Needle & Cylindrical Roller | 1-008-000 |
IMG_5876|| Thrust | 1-009-000 |
IMG_5876|| Linear Bearings (Ball Bushings) | 1-010-000 |
IMG_5876|| Spherical Bearing | 1-011-000 |
IMG_5876|Belts | | |
IMG_5876|| Flat | 1-014-000 |
IMG_5876|| Round | 1-015-000 |
IMG_5876|| Timing | 1-015-000 |
IMG_5876||" ""V"" - A, B, C, D, & E Sections "| 1-016-000 |
IMG_5876|| - 2L, 3L, 4L, & 5L Sections | 1-017-000 |
IMG_5876|| - O | 1-018-000 |
IMG_5876|| - Flat | 1-019-000 |
IMG_5876|| - Veeios | 1-020-000 |
IMG_5876|| Fasteners | 1-021-000 |
IMG_5876|Cam Follower | (See 01-123-000) | 01-023-000 |
IMG_5876|Bushings | Oil Impregnated - Plain Cylindrical | 1-024-000 |
IMG_5876|| Flange | 1-025-000 |
IMG_5876|| Thrust | 1-026-000 |
IMG_5876|| Plain Bronze - Cylindrical | 1-027-000 |
IMG_5876|| Misc - Nylon, Acetal, Du, Etc | 1-028-000 |
IMG_5876|Bumpers | | 01-127-000 |
IMG_5876|Bushings | Taper Lock | 1-032-000 |
IMG_5876|Chain | Roller - Solid Pin | 1-035-000 |
IMG_5876|| - Hollow Pin | 1-037-000 |
IMG_5876|| Block | 1-039-000 |
IMG_5876|| Silent | 1-040-000 |
IMG_5876|| Attachments & Misc. | 1-041-000 |
IMG_5876|Clamps | Cable | 1-045-000 |
IMG_5876|| Hose | 1-046-000 |
IMG_5876|| Pipe | 1-047-000 |
IMG_5876|| Misc. | 1-048-000 |
IMG_5877|Category | Subcategory | Part Number
IMG_5877|---|---|---
IMG_5877|Clutch/Brake | Mechanical Operated | 1-050-000
IMG_5877| | Electrical | 1-051-000
IMG_5877| | Air | 1-052-000
IMG_5877| | Misc. Parts | 1-053-000
IMG_5877|Code Daters/Printers/Labelers/Placers/Lazi | Hand Sealers - Tear Strip | 1-054-000
IMG_5877|Collars | Steel (One S.S.) | 1-055-000
IMG_5877| | Stainless (One SS) | 1-056-000
IMG_5877| | Steel Split | 1-057-000
IMG_5877| | Stainless Split | 1-058-000
IMG_5877| | Miscellaneous | 1-059-000
IMG_5877|Counters | Mechanical | 01-060-000
IMG_5877| | Electrical | 01-061-000
IMG_5877| | Position Indicators | 01-062-000
IMG_5877|Couplings | Flexible | 1-063-000
IMG_5877| | Rigid | 1-064-000
IMG_5877|Cups | Suction | 01-065-000
IMG_5877|Cylinders | Air | 1-066-000
IMG_5877| | Hydraulic | 1-067-000
IMG_5877|Filters | Air (Combo Units) | 1-070-000
IMG_5877| | Filters | 1-071-000
IMG_5877| | Regulators & MTG Brackets | 1-072-000
IMG_5877| | Lubricators | 1-073-000
IMG_5877|Fittings | Hose | 1-074-000
IMG_5877| | Tube | 1-075-000
IMG_5877| | Pipe | 1-076-000
IMG_5877| | Oil & Grease | 1-077-000
IMG_5877| | Compression | 1-078-000
IMG_5877| | Pipe - High Pressure & Special | 1-079-000
IMG_5877|Gauges | Pressure & Flow | 1-082-000
IMG_5877| | Vacuum | 1-083-000
IMG_5877| | Sight | 1-083-500
IMG_5878|Category | Subcategory | Part Number
IMG_5878|---|---|---
IMG_5878|GEARS | Bevel & Miter | 1-085-000
IMG_5878| | Helical | 1-086-000
IMG_5878| | Spur | 1-087-000
IMG_5878| | Worm & Worm Gear | 1-088-000
IMG_5878|GEAR DRIVES | Right Angle Boxes | 1-089-000
IMG_5878|HANDLES/LATCHES |  | 1-090-000
IMG_5878|HANDWHEELS/CRANK HANDLES |  | 1-091-000
